Latitude_deg,Longitude_deg,Altitude_m,Time,X_Inertial,Y_Inertial,Z_Inertial,VX_Inertial,VY_Inertial,VZ_Inertial,Altitude_m,X_Accel,Y_Accel,Z_Accel,Thrust_Mag,Thrust_Dir_x,Thrust_Dir_Y,Thrust_Dir_Z,Thrust_Mag_N,Thrust_Dir_x_N,Thrust_Dir_Y_N,Thrust_Dir_Z_N,Phase
3.963273701580932e-06,0.049666608119311284,99999.24506709608,1.0,1837398.5504903847,1597.6322953569731,0.12709690258453243,-1.4495096152735596,1597.6322953569731,0.12709690258453243,100000.0,-1.4495096152735596,-2.3677046430267894,0.12709690258453243,4548.962905194781,-0.0,-0.999999999375,-0.0,4742.236476919921,0.0014077294234903215,-0.998560343648072,0.05360209395001818,1.0
6.193532125332265e-06,0.0992625875918194,99998.4919341288,2.0,1837395.7175663658,3192.997110956898,0.1986182347729936,-2.8329240187306177,1595.3648155999247,0.07152133218846116,99999.24506709585,-1.3834144034570581,-2.267479757048468,-0.05557557039607128,4549.048889123878,0.0009072857486653081,-0.9999995846259127,-7.955325525225073e-05,4535.9264363250095,0.030615024453333244,-0.9992298270796182,-0.024504572849463266,1.0
7.758083892184609e-06,0.14878812533641514,99997.56204944849,3.0,1837391.3285643817,4786.098788333778,0.24879117713059978,-4.389001984088397,1593.1016773768804,0.05017294235760619,99998.4919341288,-1.5560779653577792,-2.2631382230442525,-0.021348389830854967,4549.050766582519,0.0017757189578502146,-0.999998421778138,-4.483063598530979e-05,4526.14409234899,-0.045615103675349614,-0.9989136188555495,-0.009433297900285686,1.0
5.757985296816864e-06,0.19824510137147333,99996.67202695459,4.0,1837385.605769359,6376.996727301625,0.18465065161624625,-5.722795022553566,1590.8979389678466,-0.06414052551435354,99997.56204944849,-1.3337930384651686,-2.203738409033895,-0.11431346787195973,4549.3035467258105,0.002754993849550648,-0.999996203873607,-3.149375373038799e-05,4412.2779875942,0.05396459451968841,-0.9971964558517137,-0.051815987782876244,1.0
1.4697816479124545e-06,0.2476301882687504,99995.63111134875,5.0,1837378.3646068263,7965.582327303531,0.04713384478773627,-7.241162532807731,1588.5856000019069,-0.13751680682850997,99996.67202695482,-1.518367510254166,-2.3123389659397837,-0.07337628131415644,4549.252473027148,0.0035971873796691966,-0.9999935286592397,4.031692346070273e-05,4618.7902060880615,-0.02837257656203222,-0.9990913165912934,-0.03177288079109322,1.0
2.608996148677445e-06,0.2969433331601734,99994.8257318819,6.0,1837369.9974977165,9551.85435021774,0.0836668261549664,-8.367109109879973,1586.2720229142094,0.03653298136723013,99995.63111134875,-1.1259465770722406,-2.3135770876974138,0.1740497881957401,4549.470130238709,0.004558197729665433,-0.9999896069865165,8.656466331705218e-05,4673.627383011103,0.13988885313876026,-0.9873609516916473,0.07448168679335074,1.0
8.689077044659431e-06,0.346187176997428,99993.95061605796,7.0,1837360.2046416588,11135.895095114296,0.27864631101927306,-9.792856057564139,1584.0407448965555,0.19497948486430666,99994.82573188213,-1.4257469476841655,-2.231278017653993,0.15844650349707654,4549.143360349965,0.0052746266637561335,-0.9999860881644096,-2.3030396173340005e-05,4459.0598839785325,0.01215014458466535,-0.9973964381670771,0.07106725353610688,1.0
8.961963205314363e-06,0.3953597843151649,99992.86969367252,8.0,1837348.856158786,12717.640231890833,0.2873972120082906,-11.348482872891031,1581.745136776537,0.00875090098901754,99993.9506160582,-1.555626815326893,-2.2956081200184473,-0.18622858387528912,4549.246490490475,0.006182081410868438,-0.9999808825454138,-0.00012308758974857826,4593.354109223887,-0.04475876300463868,-0.9957006290042753,-0.08108600343752562,1.0
9.075249286186785e-06,0.44446561523917166,99991.63644713606,9.0,1837336.010330194,14297.231540618173,0.29102993761181,-12.845828591982071,1579.59130872734,0.0036327256035194036,99992.86969367252,-1.4973457190910402,-2.1538280491969437,-0.005118175385498137,4549.5427051862525,0.007174474905716916,-0.9999742624762035,-5.532291871197551e-06,4288.485171715787,-0.020763386299483082,-0.9997805295157453,-0.002386832613639081,1.0
2.7133661959930043e-06,0.49350459360259663,99990.43427980598,10.0,1837321.8561106112,15874.66664795794,0.08701361837790145,-14.154219582615793,1577.4351073397656,-0.20401631923390856,99991.63644713606,-1.3083909906337226,-2.1562013875742716,-0.20764904483742797,4549.764124062664,0.008132105913178088,-0.9999669332443045,-2.2997122489842736e-06,4319.520994843664,0.06687119217158463,-0.9931176607346619,-0.09614437108297995,1.0
-5.060786249196372e-06,0.5424777946380842,99989.14532801928,11.0,1837306.2808473604,17449.977880928647,-0.16229177437014447,-15.57526325094204,1575.3112329707085,-0.24930539274804592,99990.43427980575,-1.4210436683262468,-2.123874369057232,-0.04528907351413734,4549.72619145356,0.008972571753192006,-0.9999597366705889,0.00012932899991156368,4224.097020056077,0.01503977822365102,-0.9996559887878012,-0.021443165010479596,1.0
